Partida,Simulacao,Set,Game,Vencedor,Pontos
1,1,1,1,A,0-0 Love-15 15-15 30-15 40-15 A Wins
1,1,1,2,A,0-0 15-Love 30-Love 40-Love 40-15 A Wins
1,1,1,3,A,0-0 15-Love 30-Love 40-Love A Wins
1,1,1,4,A,0-0 Love-15 15-15 15-30 Deuce Adv. A A Wins
1,1,1,5,B,0-0 Love-15 15-15 15-30 15-40 B Wins
1,1,1,6,B,0-0 Love-15 Love-30 15-30 15-40 Adv. B B Wins
1,1,1,7,A,0-0 Love-15 15-15 30-15 Deuce Adv. A A Wins
1,1,1,8,A,0-0 15-Love 15-15 30-15 Deuce Adv. A A Wins
1,1,2,1,A,0-0 Love-15 15-15 15-30 Deuce Adv. A Deuce Adv. A A Wins
1,1,2,2,A,0-0 15-Love 30-Love 40-Love A Wins
1,1,2,3,A,0-0 15-Love 30-Love 40-Love A Wins
1,1,2,4,B,0-0 Love-15 15-15 15-30 15-40 Adv. B Deuce Adv. A Deuce Adv. B Deuce Adv. A Deuce Adv. B B Wins
1,1,2,5,A,0-0 15-Love 30-Love 30-15 Deuce Adv. B Deuce Adv. A A Wins
1,1,2,6,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,1,2,7,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,2,1,1,A,0-0 15-Love 15-15 15-30 Deuce Adv. A A Wins
1,2,1,2,A,0-0 Love-15 15-15 30-15 Deuce Adv. A Deuce Adv. A A Wins
1,2,1,3,A,0-0 15-Love 15-15 30-15 40-15 Adv. A A Wins
1,2,1,4,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,2,1,5,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A A Wins
1,2,1,6,A,0-0 Love-15 15-15 30-15 40-15 Adv. A A Wins
1,2,2,1,A,0-0 Love-15 15-15 30-15 40-15 Adv. A A Wins
1,2,2,2,A,0-0 Love-15 15-15 30-15 40-15 A Wins
1,2,2,3,A,0-0 Love-15 15-15 15-30 15-40 Adv. B Deuce Adv. A A Wins
1,2,2,4,A,0-0 15-Love 30-Love 30-15 40-15 Adv. A A Wins
1,2,2,5,A,0-0 15-Love 30-Love 40-Love A Wins
1,2,2,6,A,0-0 15-Love 30-Love 30-15 Deuce Adv. A A Wins
1,3,1,1,A,0-0 15-Love 30-Love 40-Love A Wins
1,3,1,2,A,0-0 15-Love 30-Love 30-15 Deuce Adv. A Deuce Adv. A A Wins
1,3,1,3,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,3,1,4,A,0-0 15-Love 30-Love 40-Love 40-15 A Wins
1,3,1,5,A,0-0 15-Love 15-15 30-15 40-15 Adv. A A Wins
1,3,1,6,A,0-0 15-Love 30-Love 40-Love A Wins
1,3,2,1,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A A Wins
1,3,2,2,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,3,2,3,A,0-0 15-Love 30-Love 30-15 40-15 A Wins
1,3,2,4,A,0-0 Love-15 15-15 30-15 Deuce Adv. A Deuce Adv. B Deuce Adv. A A Wins
1,3,2,5,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A A Wins
1,3,2,6,A,0-0 15-Love 30-Love 40-Love A Wins
1,4,1,1,A,0-0 15-Love 15-15 30-15 40-15 A Wins
1,4,1,2,A,0-0 Love-15 Love-30 15-30 Deuce Adv. B Deuce Adv. A A Wins
1,4,1,3,A,0-0 15-Love 30-Love 40-Love 40-15 Adv. A A Wins
1,4,1,4,A,0-0 15-Love 30-Love 40-Love A Wins
